caldt,vwretd
20200421,-0.030447
20200422,0.022846
20200423,-0.000388
20200424,0.013758
20200427,0.014428
20200428,-0.005305
20200429,0.026208
20200430,-0.008936
20200501,-0.027987
20200504,0.004454
20200505,0.009042
20200506,-0.006842
20200507,0.012070
20200508,0.017096
20200511,0.000148
20200512,-0.020434
20200513,-0.017138
20200514,0.011669
20200515,0.004270
20200518,0.031482
20200519,-0.010403
20200520,0.016702
20200521,-0.007929
20200522,0.002455
20200526,0.012164
20200527,0.014605
20200528,-0.001863
20200529,0.004922
20200601,0.003979
20200602,0.008075
20200603,0.013602
20200604,-0.003255
20200605,0.025805
20200608,0.012263
20200609,-0.007465
20200610,-0.005108
20200611,-0.058263
20200612,0.013059
20200615,0.008464
20200616,0.018946
20200617,-0.003646
20200618,0.000805
20200619,-0.005284
20200622,0.006531
20200623,0.004316
20200624,-0.025571
20200625,0.010927
20200626,-0.024285
20200629,0.014740
20200630,0.015346
20200701,0.005266
20200702,0.004715
20200706,0.016070
20200707,-0.010446
20200708,0.007812
20200709,-0.004930
20200710,0.010600
20200713,-0.009530
20200714,0.013302
20200715,0.008938
20200716,-0.003355
20200717,0.002691
20200720,0.008785
20200721,0.001624
20200722,0.005591
20200723,-0.012421
20200724,-0.006038
20200727,0.007415
20200728,-0.006553
20200729,0.012316
20200730,-0.003576
20200731,0.007894
20200803,0.006842
20200804,0.003775
20200805,0.006357
20200806,0.006495
20200807,0.000845
20200810,0.002842
20200811,-0.008020
20200812,0.014106
20200813,-0.001655
20200814,-0.000052
20200817,0.002937
20200818,0.002708
20200819,-0.004358
20200820,0.003108
20200821,0.003508
20200824,0.010110
20200825,0.003522
20200826,0.010173
20200827,0.001848
20200828,0.006933
20200831,-0.002009
20200901,0.007952
20200902,0.015351
20200903,-0.034955
20200904,-0.008178
20200908,-0.027921
20200909,0.020237
20200910,-0.017577
20200911,0.000399
20200914,0.012983
20200915,0.005349
20200916,-0.004753
20200917,-0.008466
20200918,-0.011340
20200921,-0.011303
20200922,0.010820
20200923,-0.023827
20200924,0.003153
20200925,0.016035
20200928,0.016099
20200929,-0.004733
20200930,0.008263
20201001,0.005692
20201002,-0.009760
20201005,0.018060
20201006,-0.014074
20201007,0.017392
20201008,0.008262
20201009,0.009028
20201012,0.016701
20201013,-0.006130
20201014,-0.006746
20201015,-0.001529
20201016,-0.000083
20201019,-0.016384
20201020,0.004811
20201021,-0.002255
20201022,0.005249
20201023,0.003499
20201026,-0.018394
20201027,-0.002814
20201028,-0.035198
20201029,0.011972
20201030,-0.012228
20201102,0.012177
20201103,0.017793
20201104,0.022218
20201105,0.019562
20201106,-0.000014
20201109,0.011808
20201110,-0.001430
20201111,0.007900
20201112,-0.009679
20201113,0.013753
20201116,0.011511
20201117,-0.004642
20201118,-0.011277
20201119,0.004214
20201120,-0.006830
20201123,0.005592
20201124,0.016071
20201125,-0.001390
20201127,0.002563
20201130,-0.004343
20201201,0.011340
20201202,0.001739
20201203,-0.000470
20201204,0.008764
20201207,-0.001935
20201208,0.002839
20201209,-0.008042
20201210,-0.001213
20201211,-0.001222
20201214,-0.004099
20201215,0.012944
20201216,0.001945
20201217,0.005728
20201218,-0.003363
20201221,-0.002768
20201222,-0.001989
20201223,0.000729
20201224,0.003623
20201228,0.008919
20201229,-0.002235
20201230,0.001484
20201231,0.006377
20210104,-0.014456
20210105,0.007089
20210106,0.005644
20210107,0.015147
20210108,0.005929
20210111,-0.006926
20210112,0.000608
20210113,0.002202
20210114,-0.003836
20210115,-0.007237
20210119,0.008116
20210120,0.014159
20210121,0.000454
20210122,-0.002842
20210125,0.003733
20210126,-0.001275
20210127,-0.025727
20210128,0.009418
20210129,-0.019383
20210201,0.016284
20210202,0.014103
20210203,0.000777
20210204,0.010978
20210205,0.004043
20210208,0.007280
20210209,-0.001149
20210210,-0.000697
20210211,0.001754
20210212,0.004764
20210216,-0.000602
20210217,-0.000055
20210218,-0.004630
20210219,-0.001924
20210222,-0.007937
20210223,0.001221
20210224,0.011304
20210225,-0.024413
20210226,-0.004621
20210301,0.023849
20210302,-0.008142
20210303,-0.013228
20210304,-0.013168
20210305,0.019351
20210308,-0.005542
20210309,0.014698
20210310,0.006106
20210311,0.010424
20210312,0.001315
20210315,0.006507
20210316,-0.001675
20210317,0.002983
20210318,-0.015014
20210319,-0.000361
20210322,0.007079
20210323,-0.007555
20210324,-0.005638
20210325,0.005370
20210326,0.016138
20210329,-0.000798
20210330,-0.002865
20210331,0.003844
20210401,0.011758
20210405,0.014844
20210406,-0.000815
20210407,0.001400
20210408,0.004571
20210409,0.007657
20210412,-0.000051
20210413,0.003534
20210414,-0.004158
20210415,0.011068
20210416,0.003581
20210419,-0.005326
20210420,-0.006737
20210421,0.009310
20210422,-0.009237
20210423,0.010961
20210426,0.001814
20210427,-0.000326
20210428,-0.000720
20210429,0.006769
20210430,-0.006870
20210503,0.002564
20210504,-0.006907
20210505,0.000718
20210506,0.008241
20210507,0.007419
20210510,-0.010683
20210511,-0.008571
20210512,-0.021445
20210513,0.012223
20210514,0.015163
20210517,-0.002492
20210518,-0.008300
20210519,-0.002870
20210520,0.010717
20210521,-0.000865
20210524,0.010082
20210525,-0.002094
20210526,0.002033
20210527,0.001228
20210528,0.000802
20210601,-0.000367
20210602,0.001474
20210603,-0.003618
20210604,0.008931
20210607,-0.000694
20210608,0.000360
20210609,-0.001831
20210610,0.004762
20210611,0.001970
20210614,0.002089
20210615,-0.002041
20210616,-0.005393
20210617,-0.000150
20210618,-0.012998
20210621,0.013940
20210622,0.005163
20210623,-0.000985
20210624,0.005864
20210625,0.003250
20210628,0.002246
20210629,0.000272
20210630,0.001445
20210701,0.005164
20210702,0.007751
20210706,-0.001723
20210707,0.003334
20210708,-0.008136
20210709,0.011143
20210712,0.003520
20210713,-0.003597
20210714,0.001294
20210715,-0.003349
20210716,-0.007496
20210719,-0.015761
20210720,0.015235
20210721,0.008020
20210722,0.002072
20210723,0.010027
20210726,0.002546
20210727,-0.004933
20210728,-0.000167
20210729,0.004390
20210730,-0.005630
20210802,-0.001672
20210803,0.008247
20210804,-0.004537
20210805,0.006142
20210806,0.001615
20210809,-0.000557
20210810,0.000976
20210811,0.002297
20210812,0.003263
20210813,0.001551
20210816,0.002374
20210817,-0.007015
20210818,-0.010471
20210819,0.001095
20210820,0.008181
20210823,0.008789
20210824,0.001546
20210825,0.002172
20210826,-0.005823
20210827,0.008814
20210830,0.004506
20210831,-0.001075
20210901,0.000448
20210902,0.002894
20210903,-0.000222
20210907,-0.003154
20210908,-0.001246
20210909,-0.004520
20210910,-0.007797
20210913,0.002151
20210914,-0.005603
20210915,0.008445
20210916,-0.001413
20210917,-0.009047
20210920,-0.017046
20210921,-0.000723
20210922,0.009622
20210923,0.012149
20210924,0.001582
20210927,-0.002696
20210928,-0.020262
20210929,0.001667
20210930,-0.011857
20211001,0.011278
20211004,-0.012921
20211005,0.010615
20211006,0.004041
20211007,0.008542
20211008,-0.001875
20211011,-0.006783
20211012,-0.002256
20211013,0.003015
20211014,0.017007
20211015,0.007598
20211018,0.003602
20211019,0.007351
20211020,0.003599
20211021,0.003055
20211022,-0.001036
20211025,0.005075
20211026,0.001778
20211027,-0.004915
20211028,0.009967
20211029,0.002005
20211101,0.002094
20211102,0.003559
20211103,0.006770
20211104,0.004298
20211105,0.003764
20211108,0.000482
20211109,-0.003828
20211110,-0.007830
20211111,0.000478
20211112,0.007066
20211115,0.000001
